id,address,city,floor,price,rooms,sq,year,latitude,longitude
16017,Potęgowska,Gdańsk,3,649850.0,3,67.0,2013.0,50.0648549,19.8796881
16018,Przyokopowa,Gdańsk,0,519000.0,2,49.56,1920.0,50.05356775,19.98429598154049
16019,Łąkowa,Gdańsk,0,1134000.0,2,54.0,2023.0,50.0578259,19.9583506
16020,Jana Bażyńskiego,Gdańsk,1,881501.0,2,43.74,2022.0,50.0947025,19.8847491
16021,Leszczynowa,Gdańsk,2,550200.0,3,59.81,2000.0,50.1018633,19.9608683
16022,Leszczynowa,Gdańsk,2,461000.0,2,47.52,2000.0,50.1014534,19.8738326
16023,Białowieska,Gdańsk,3,546000.0,3,54.6,2000.0,50.0611239,19.9315149
16024,Białowieska,Gdańsk,2,464200.0,2,43.38,2000.0,50.0404753,20.0151209
16025,Chmielna,Gdańsk,4,599000.0,1,23.0,2020.0,50.0218416,19.9004129
16026,Trakt św. Wojciecha,Gdańsk,0,699000.0,5,156.66,2000.0,50.1014534,19.8738326
16027,Czerska,Gdańsk,2,479705.0,4,60.82,2022.0,50.1014534,19.8738326
16028,Niepołomicka,Gdańsk,1,347123.0,2,35.86,2022.0,50.1116206,19.8940347
16029,Niepołomicka,Gdańsk,2,436200.0,3,51.99,2022.0,50.1018633,19.9608683
16030,Niepołomicka,Gdańsk,3,377128.0,2,42.39,2022.0,50.0475257,19.978844
16031,Świętokrzyska,Gdańsk,3,346505.0,2,33.73,2000.0,50.0643634,20.0178213
16032,Świętokrzyska,Gdańsk,2,464082.0,3,52.43,2000.0,50.00902725,20.020319219294294
16033,Świętokrzyska,Gdańsk,1,464082.0,2,52.43,2000.0,50.0789797,19.8896581
16034,Świętokrzyska,Gdańsk,1,404304.0,2,42.33,2000.0,50.0417419,20.0621804
16035,Obrońców Westerplatte,Gdańsk,1,1549000.0,4,93.42,1900.0,50.0612142,19.8964334
16036,Homera,Gdańsk,2,610000.0,3,61.5,2018.0,50.06490875,19.966594950276576
16037,Jeremiasza Falck Polonusa,Gdańsk,1,429000.0,2,54.94,1918.0,50.0932423,20.0277417
16038,Pomorska,Gdańsk,1,590000.0,3,56.0,1974.0,50.0136163,19.9185409
16039,Mikołaja Kopernika,Gdańsk,0,775400.0,2,40.87,2015.0,50.0404753,20.0151209
16040,Jakuba Wejhera,Gdańsk,4,470000.0,2,38.0,1977.0,50.0472263,19.946805
16041,Potokowa,Gdańsk,2,1246450.0,4,97.0,2000.0,50.0562515,19.9588745
16042,Nadmorski Dwór,Gdańsk,2,1390000.0,2,51.3,2015.0,50.0056136,19.9482941
16043,Krzemowa,Gdańsk,3,549000.0,3,55.8,1995.0,50.0159733,19.9672124
16044,Życzliwa,Gdańsk,2,664747.0,4,72.38,2000.0,50.1018633,19.9608683
16045,Życzliwa,Gdańsk,0,460528.0,2,48.94,2000.0,50.1018633,19.9608683
16046,Czerska,Gdańsk,3,464900.0,3,53.5,2022.0,50.0197183,19.9709187
16047,Niepołomicka,Gdańsk,0,348100.0,2,35.77,2022.0,50.0926425,19.9858363
16048,Starogardzka,Gdańsk,2,369999.0,2,40.85,2022.0,50.0406621,19.9422628
16049,Władysława Jagiełły,Gdańsk,1,865080.0,3,64.08,2021.0,50.0691698,19.9289945
16050,Władysława Jagiełły,Gdańsk,2,593386.0,4,68.17,2000.0,50.0244321,19.9726601
16051,Władysława Jagiełły,Gdańsk,1,500475.0,3,53.74,2000.0,50.0857593,20.0297395
16052,Władysława Jagiełły,Gdańsk,1,391634.0,2,42.32,2000.0,50.0766963,19.9618957
16053,Władysława Jagiełły,Gdańsk,2,313508.0,2,29.66,2000.0,50.0961251,20.0418648
16054,Obrońców Wybrzeża,Gdańsk,9,1239000.0,3,59.0,2018.0,50.0087274,20.0245004
16055,Żabi Kruk,Gdańsk,2,664000.0,3,49.21,1962.0,50.0411678,19.8398429
16056,Elbląska,Gdańsk,1,950000.0,4,74.14,1939.0,50.0625885,20.0200767
16057,Stara Stocznia,Gdańsk,3,2800000.0,4,93.32,2017.0,50.1014534,19.8738326
16058,Myśliwska,Gdańsk,2,790000.0,2,50.0,2010.0,50.1014534,19.8738326
16059,Bolesława Krzywoustego,Gdańsk,1,895000.0,2,49.0,2012.0,50.0461424,19.9886656
16060,Myśliwska,Gdańsk,1,1046553.0,5,91.61,2000.0,50.0111679,19.9909599
16061,Jabłoniowa 15B,Gdańsk,4,699000.0,3,62.3,2010.0,54.3317214,18.5639133
16062,Zakopiańska,Gdańsk,1,499000.0,2,53.29,1960.0,50.0134549,20.050992
16063,Ignacego Paderewskiego,Gdańsk,8,599000.0,3,56.12,1980.0,50.0946877,19.9788293
16064,Koziorożca,Gdańsk,2,745000.0,4,60.0,2006.0,50.0373949,19.942456
16065,Białowieska,Gdańsk,1,422500.0,2,42.67,2000.0,50.0852974,19.9164193
16066,Antygony,Gdańsk,1,800000.0,4,96.0,2000.0,50.0517163,19.9492598
16067,Hery,Gdańsk,0,835000.0,4,85.5,2010.0,50.0932423,20.0277417
16068,Wałowa,Gdańsk,0,1330000.0,3,92.0,1900.0,50.0130208,19.9792833
16069,Dywizji Wołyńskiej,Gdańsk,1,1100000.0,4,108.5,1997.0,50.1018633,19.9608683
16070,Diany,Gdańsk,1,595000.0,3,59.95,2023.0,50.0239286,19.9604306
16071,Heleny Marusarzówny,Gdańsk,2,595000.0,3,60.1,1980.0,50.0239286,19.9604306
16072,Stanisława Skarżyńskiego,Gdańsk,3,599000.0,2,49.5,1980.0,50.0188125,19.9617895
16073,Henryka Sienkiewicza,Gdańsk,0,1199000.0,3,91.1,2000.0,50.0140044,19.9591197
16074,Konrada Guderskiego,Gdańsk,3,419000.0,2,40.05,2022.0,50.0675007,19.9377243
16075,Ksawerego Dunikowskiego,Gdańsk,3,569000.0,2,44.6,1976.0,50.0935683,19.9225386
16076,Nadmorski Dwór,Gdańsk,1,2100000.0,3,72.5,2020.0,50.0496637,19.9590525
16077,Niepołomicka,Gdańsk,1,490037.0,4,60.94,2000.0,50.0643634,20.0178213
16078,Niepołomicka,Gdańsk,2,443700.0,3,54.52,2000.0,50.08780725,19.878046068078184
16079,Niepołomicka,Gdańsk,2,353797.0,2,38.54,2000.0,50.1014534,19.8738326
16080,Gdyńskich Kosynierów,Gdańsk,3,1433140.0,3,109.4,1903.0,50.1014534,19.8738326
16081,Orłowska,Gdańsk,1,609000.0,3,47.7,1972.0,50.0411678,19.8398429
16082,Zielona,Gdańsk,1,969000.0,3,65.0,1901.0,50.0731683,19.9795295
16083,Świętokrzyska,Gdańsk,0,539070.0,3,52.85,2000.0,50.0454101,19.9669972
16084,Świętokrzyska,Gdańsk,1,395323.0,2,37.83,2000.0,50.0440936,19.9476245
16085,Życzliwa,Gdańsk,0,463818.0,2,49.29,2000.0,50.0975389,20.1876527
16086,Życzliwa,Gdańsk,0,652002.0,4,72.39,2000.0,50.0480507,19.9256113
16087,Władysława Jagiełły,Gdańsk,3,559677.0,4,64.22,2000.0,50.0674576,20.0623653
16088,Władysława Jagiełły,Gdańsk,4,443211.0,3,53.84,2000.0,50.1093147,19.898265
16089,Władysława Jagiełły,Gdańsk,4,361373.0,2,40.49,2000.0,50.0497556,19.9312092
16090,Borkowska,Gdańsk,1,608100.0,4,60.81,2024.0,50.0731683,19.9795295
16091,Nowe Ogrody,Gdańsk,4,1050000.0,3,100.0,1960.0,50.0056136,19.9482941
16092,Leszczynowa,Gdańsk,0,523800.0,3,58.85,2023.0,50.0143192,20.0001537
16093,Przemyska,Gdańsk,4,1006403.0,4,88.41,2000.0,50.0914456,19.9330389
16094,Dywizjonu 303 303,Gdańsk,8,799000.0,3,62.4,1980.0,50.0877413,19.9105644
16095,Przemyska,Gdańsk,3,704757.0,3,67.28,2000.0,50.0126099,19.9586676
16096,Przemyska,Gdańsk,4,463539.0,2,41.74,2000.0,50.1018633,19.9608683
16097,dr. Władysława Paneckiego,Gdańsk,1,670000.0,3,60.3,1977.0,50.085399,19.8464718
16098,Jacka Malczewskiego,Gdańsk,1,1502080.0,4,104.43,2023.0,50.0410216,19.9383837
16099,Władysława Jagiełły,Gdańsk,0,542398.0,3,53.97,2023.0,50.0914456,19.9330389
16100,Jana Kielasa,Gdańsk,2,575000.0,3,65.65,2000.0,50.012542,19.9771787
16101,Andrzeja Grubby,Gdańsk,1,470000.0,2,43.13,2013.0,50.0797181,19.9387041
16102,Białowieska,Gdańsk,0,537800.0,3,54.6,2000.0,50.0742276,19.9122277
16103,Lawendowe Wzgórze,Gdańsk,0,689598.0,3,58.94,2021.0,50.1004268,19.8877086
16104,Bolesława Chrobrego,Gdańsk,2,589000.0,2,43.0,2000.0,50.0570663,19.9181467
16105,św. Barbary,Gdańsk,3,820000.0,2,41.12,2000.0,50.0578259,19.9583506
16106,Pastelowa,Gdańsk,3,487000.0,2,37.52,2022.0,50.021319,19.9953253
16107,Starowiejska,Gdańsk,2,899000.0,3,60.0,2023.0,50.0581158,19.9468751
