id,address,city,floor,price,rooms,sq,year
400,Icchoka Malmeda,Białystok,2,575000.0,2,576.0,1953
401,Knyszyńska,Białystok,6,567700.0,3,5588.0,2022
402,Marczukowska,Białystok,2,505000.0,3,6076.0,2024
403,Marczukowska,Białystok,1,414000.0,3,5038.0,2024
404,Lodowa,Białystok,1,555025.0,3,7287.0,2023
405,Ukośna,Białystok,4,429543.0,2,5303.0,
406,Bolesława Chrobrego,Białystok,2,259000.0,2,322.0,
407,Stanisława Dubois,Białystok,0,350000.0,2,43.0,2001
408,Ukośna,Białystok,4,449436.0,2,5762.0,
409,Pogodna,Białystok,3,299999.0,2,37.0,
410,Podleśna,Białystok,3,420000.0,3,65.0,1963
411,Adama Mickiewicza,Białystok,2,440000.0,3,619.0,1989
412,Kozłowa,Białystok,1,265000.0,2,32.0,1978
413,Szarych Szeregów,Białystok,4,380000.0,3,65.0,1993
414,dr Ireny Białówny,Białystok,1,425000.0,2,442.0,1960
415,42 Pułku Piechoty,Białystok,1,450300.0,3,5425.0,2024
416,42 Pułku Piechoty,Białystok,0,416000.0,3,4894.0,2024
417,św. Mikołaja,Białystok,0,449000.0,2,5143.0,1959
418,Zwycięstwa,Białystok,4,298900.0,2,465.0,
419,Rumiankowa,Białystok,4,384000.0,2,52.0,1988
420,św. Wojciecha,Białystok,2,505000.0,3,62.0,1980
421,Warszawska,Białystok,0,410000.0,2,53.0,
422,Lodowa,Białystok,1,524000.0,4,7002.0,2022
423,Aleja Józefa Piłsudskiego,Białystok,3,429000.0,2,4827.0,1959
424,Stanisława Staszica,Białystok,0,599000.0,3,605.0,2000
425,Lodowa,Białystok,1,670000.0,4,7202.0,2023
426,Jerzego Waszyngtona,Białystok,2,459000.0,3,72.0,1977
427,Jerzego Waszyngtona,Białystok,1,1110000.0,5,1039.0,2013
428,Zachodnia,Białystok,1,519000.0,3,545.0,2004
429,Łąkowa,Białystok,1,660000.0,2,5039.0,2022
430,Ukośna,Białystok,0,443222.0,2,5719.0,
431,Hanki Ordonówny,Białystok,4,328000.0,2,4228.0,
432,Ukośna,Białystok,2,471354.0,3,6043.0,
433,Zachodnia,Białystok,2,372000.0,2,4099.0,2004
434,Elizy Orzeszkowej,Białystok,3,519000.0,3,61.0,1992
